
############################
training grid
############################

Type : grid Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.11476, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.09655 sec, avg_samples: 72.0, avg_ips: 745.70560 images/sec.
Type : grid Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.05579, avg_reader_cost: 2.32605 sec, avg_batch_cost: 2.43966 sec, avg_samples: 96.0, avg_ips: 39.34973 images/sec.
Type : grid Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.02919, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11614 sec, avg_samples: 96.0, avg_ips: 826.60297 images/sec.
Type : grid Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.03092, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.09396 sec, avg_samples: 72.0, avg_ips: 766.25203 images/sec.
Type : grid Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.02681, avg_reader_cost: 2.28142 sec, avg_batch_cost: 2.39362 sec, avg_samples: 96.0, avg_ips: 40.10667 images/sec.
Type : grid Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.05246, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11259 sec, avg_samples: 96.0, avg_ips: 852.67773 images/sec.
Type : grid Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.03266, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.09365 sec, avg_samples: 72.0, avg_ips: 768.79575 images/sec.
Type : grid Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.03148, avg_reader_cost: 2.29790 sec, avg_batch_cost: 2.41126 sec, avg_samples: 96.0, avg_ips: 39.81326 images/sec.
Type : grid Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.00882, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11545 sec, avg_samples: 96.0, avg_ips: 831.49514 images/sec.
Type : grid Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.05850, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.09667 sec, avg_samples: 72.0, avg_ips: 744.76768 images/sec.
