
############################
training tile
############################

Type : tile Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.07129, avg_reader_cost: 2.67982 sec, avg_batch_cost: 2.79473 sec, avg_samples: 96.0, avg_ips: 34.35040 images/sec.
Type : tile Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.06375, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11496 sec, avg_samples: 96.0, avg_ips: 835.05088 images/sec.
Type : tile Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.17746, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.06202 sec, avg_samples: 38.0, avg_ips: 612.67198 images/sec.
Type : tile Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.06097, avg_reader_cost: 3.00430 sec, avg_batch_cost: 3.11909 sec, avg_samples: 96.0, avg_ips: 30.77824 images/sec.
Type : tile Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.08665, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11186 sec, avg_samples: 96.0, avg_ips: 858.25376 images/sec.
Type : tile Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.02752, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.06070 sec, avg_samples: 38.0, avg_ips: 626.07700 images/sec.
Type : tile Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.07326, avg_reader_cost: 2.13937 sec, avg_batch_cost: 2.25197 sec, avg_samples: 96.0, avg_ips: 42.62941 images/sec.
Type : tile Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.06201, avg_reader_cost: 0.34900 sec, avg_batch_cost: 0.46352 sec, avg_samples: 96.0, avg_ips: 207.11110 images/sec.
Type : tile Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.01328, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.06219 sec, avg_samples: 38.0, avg_ips: 611.02314 images/sec.
Type : tile Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.04379, avg_reader_cost: 2.65240 sec, avg_batch_cost: 2.76600 sec, avg_samples: 96.0, avg_ips: 34.70714 images/sec.
Type : tile Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.04302, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11434 sec, avg_samples: 96.0, avg_ips: 839.59545 images/sec.
Type : tile Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.04517, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.06071 sec, avg_samples: 38.0, avg_ips: 625.88523 images/sec.
Type : tile Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.05393, avg_reader_cost: 2.73274 sec, avg_batch_cost: 2.84803 sec, avg_samples: 96.0, avg_ips: 33.70746 images/sec.
Type : tile Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.02993, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11480 sec, avg_samples: 96.0, avg_ips: 836.23711 images/sec.
Type : tile Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.03191, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.06222 sec, avg_samples: 38.0, avg_ips: 610.69303 images/sec.
Type : tile Test [ Epoch 32/256 ] test_cost: 8.502272 sec max_auc: 0.96140 roc_auc : 0.961400.
Type : tile Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.03205, avg_reader_cost: 2.92805 sec, avg_batch_cost: 3.04350 sec, avg_samples: 96.0, avg_ips: 31.54258 images/sec.
Type : tile Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.08588, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11363 sec, avg_samples: 96.0, avg_ips: 844.84866 images/sec.
Type : tile Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.06652, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.06234 sec, avg_samples: 38.0, avg_ips: 609.57659 images/sec.
Type : tile Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.06823, avg_reader_cost: 2.75298 sec, avg_batch_cost: 2.86606 sec, avg_samples: 96.0, avg_ips: 33.49543 images/sec.
Type : tile Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.12630, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11169 sec, avg_samples: 96.0, avg_ips: 859.51054 images/sec.
