
############################
training screw
############################

Type : screw Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.15181, avg_reader_cost: 2.56912 sec, avg_batch_cost: 2.68522 sec, avg_samples: 96.0, avg_ips: 35.75130 images/sec.
Type : screw Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.09581, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.11511 sec, avg_samples: 96.0, avg_ips: 833.99237 images/sec.
Type : screw Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.11662, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11419 sec, avg_samples: 96.0, avg_ips: 840.69105 images/sec.
Type : screw Train [ Epoch 19/256 iter 4 ] lr: 0.02856, loss: 0.10236, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.05618 sec, avg_samples: 32.0, avg_ips: 569.64607 images/sec.
Type : screw Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.15967, avg_reader_cost: 2.57028 sec, avg_batch_cost: 2.68516 sec, avg_samples: 96.0, avg_ips: 35.75210 images/sec.
Type : screw Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.14135, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11454 sec, avg_samples: 96.0, avg_ips: 838.11523 images/sec.
Type : screw Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.16053, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11503 sec, avg_samples: 96.0, avg_ips: 834.57491 images/sec.
Type : screw Train [ Epoch 20/256 iter 4 ] lr: 0.02840, loss: 0.21281, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.05697 sec, avg_samples: 32.0, avg_ips: 561.67681 images/sec.
Type : screw Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.16374, avg_reader_cost: 2.52348 sec, avg_batch_cost: 2.64056 sec, avg_samples: 96.0, avg_ips: 36.35597 images/sec.
Type : screw Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.18675, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11583 sec, avg_samples: 96.0, avg_ips: 828.79099 images/sec.
Type : screw Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.17673, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11349 sec, avg_samples: 96.0, avg_ips: 845.88873 images/sec.
Type : screw Train [ Epoch 21/256 iter 4 ] lr: 0.02823, loss: 0.19030, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.06316 sec, avg_samples: 32.0, avg_ips: 506.67702 images/sec.
Type : screw Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.14285, avg_reader_cost: 2.36825 sec, avg_batch_cost: 2.48439 sec, avg_samples: 96.0, avg_ips: 38.64127 images/sec.
Type : screw Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.17295, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.11682 sec, avg_samples: 96.0, avg_ips: 821.76635 images/sec.
Type : screw Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.15632, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11304 sec, avg_samples: 96.0, avg_ips: 849.28578 images/sec.
Type : screw Train [ Epoch 22/256 iter 4 ] lr: 0.02805, loss: 0.17151, avg_reader_cost: 0.00034 sec, avg_batch_cost: 0.05823 sec, avg_samples: 32.0, avg_ips: 549.57714 images/sec.
Type : screw Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.15037, avg_reader_cost: 2.50262 sec, avg_batch_cost: 2.61854 sec, avg_samples: 96.0, avg_ips: 36.66160 images/sec.
Type : screw Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.14426, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11668 sec, avg_samples: 96.0, avg_ips: 822.77890 images/sec.
Type : screw Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.11429, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11448 sec, avg_samples: 96.0, avg_ips: 838.57953 images/sec.
Type : screw Train [ Epoch 23/256 iter 4 ] lr: 0.02787, loss: 0.11661, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.05848 sec, avg_samples: 32.0, avg_ips: 547.18424 images/sec.
Type : screw Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.16060, avg_reader_cost: 2.49909 sec, avg_batch_cost: 2.61753 sec, avg_samples: 96.0, avg_ips: 36.67582 images/sec.
Type : screw Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.13488, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.11753 sec, avg_samples: 96.0, avg_ips: 816.78050 images/sec.
Type : screw Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.14558, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11685 sec, avg_samples: 96.0, avg_ips: 821.55508 images/sec.
Type : screw Train [ Epoch 24/256 iter 4 ] lr: 0.02767, loss: 0.19802, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.05712 sec, avg_samples: 32.0, avg_ips: 560.22560 images/sec.
Type : screw Test [ Epoch 24/256 ] test_cost: 6.469490 sec max_auc: 0.57348 roc_auc : 0.324657.
Type : screw Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.15043, avg_reader_cost: 2.67939 sec, avg_batch_cost: 2.79393 sec, avg_samples: 96.0, avg_ips: 34.36021 images/sec.
Type : screw Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.14455, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11336 sec, avg_samples: 96.0, avg_ips: 846.86188 images/sec.
Type : screw Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.14890, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11302 sec, avg_samples: 96.0, avg_ips: 849.42015 images/sec.
Type : screw Train [ Epoch 25/256 iter 4 ] lr: 0.02747, loss: 0.22925, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.05563 sec, avg_samples: 32.0, avg_ips: 575.20240 images/sec.
Type : screw Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.19957, avg_reader_cost: 2.23884 sec, avg_batch_cost: 2.35342 sec, avg_samples: 96.0, avg_ips: 40.79169 images/sec.
Type : screw Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.13882, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11419 sec, avg_samples: 96.0, avg_ips: 840.67175 images/sec.
Type : screw Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.17109, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11581 sec, avg_samples: 96.0, avg_ips: 828.95991 images/sec.
Type : screw Train [ Epoch 26/256 iter 4 ] lr: 0.02726, loss: 0.12138, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.05724 sec, avg_samples: 32.0, avg_ips: 559.02391 images/sec.
Type : screw Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.11941, avg_reader_cost: 2.71968 sec, avg_batch_cost: 2.83591 sec, avg_samples: 96.0, avg_ips: 33.85151 images/sec.
Type : screw Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.12470, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11788 sec, avg_samples: 96.0, avg_ips: 814.38019 images/sec.
Type : screw Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.14284, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11512 sec, avg_samples: 96.0, avg_ips: 833.89737 images/sec.
Type : screw Train [ Epoch 27/256 iter 4 ] lr: 0.02705, loss: 0.16427, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.05710 sec, avg_samples: 32.0, avg_ips: 560.38465 images/sec.
Type : screw Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.15113, avg_reader_cost: 2.34476 sec, avg_batch_cost: 2.46121 sec, avg_samples: 96.0, avg_ips: 39.00519 images/sec.
Type : screw Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.13250, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11480 sec, avg_samples: 96.0, avg_ips: 836.24405 images/sec.
Type : screw Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.14361, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.11560 sec, avg_samples: 96.0, avg_ips: 830.44904 images/sec.
Type : screw Train [ Epoch 28/256 iter 4 ] lr: 0.02683, loss: 0.16907, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.05811 sec, avg_samples: 32.0, avg_ips: 550.68654 images/sec.
Type : screw Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.17061, avg_reader_cost: 2.40536 sec, avg_batch_cost: 2.51925 sec, avg_samples: 96.0, avg_ips: 38.10660 images/sec.
Type : screw Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.15479, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11533 sec, avg_samples: 96.0, avg_ips: 832.38037 images/sec.
Type : screw Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.06810, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11445 sec, avg_samples: 96.0, avg_ips: 838.82235 images/sec.
Type : screw Train [ Epoch 29/256 iter 4 ] lr: 0.02660, loss: 0.09374, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.05648 sec, avg_samples: 32.0, avg_ips: 566.55380 images/sec.
Type : screw Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.10111, avg_reader_cost: 2.32546 sec, avg_batch_cost: 2.44003 sec, avg_samples: 96.0, avg_ips: 39.34372 images/sec.
Type : screw Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.16616, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11388 sec, avg_samples: 96.0, avg_ips: 842.97204 images/sec.
