
############################
training leather
############################

Type : leather Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.04697, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.06560 sec, avg_samples: 53.0, avg_ips: 807.94839 images/sec.
Type : leather Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.06313, avg_reader_cost: 2.48405 sec, avg_batch_cost: 2.59972 sec, avg_samples: 96.0, avg_ips: 36.92709 images/sec.
Type : leather Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.04433, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11283 sec, avg_samples: 96.0, avg_ips: 850.87048 images/sec.
Type : leather Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.13791, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.07469 sec, avg_samples: 53.0, avg_ips: 709.63720 images/sec.
Type : leather Test [ Epoch 24/256 ] test_cost: 10.641806 sec max_auc: 1.00000 roc_auc : 1.000000.
Type : leather Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.07067, avg_reader_cost: 2.39915 sec, avg_batch_cost: 2.50570 sec, avg_samples: 96.0, avg_ips: 38.31264 images/sec.
Type : leather Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.03663, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10502 sec, avg_samples: 96.0, avg_ips: 914.08214 images/sec.
Type : leather Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.02950, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.06817 sec, avg_samples: 53.0, avg_ips: 777.47545 images/sec.
Type : leather Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.06094, avg_reader_cost: 2.89088 sec, avg_batch_cost: 3.00474 sec, avg_samples: 96.0, avg_ips: 31.94950 images/sec.
Type : leather Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.06676, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.11401 sec, avg_samples: 96.0, avg_ips: 842.05887 images/sec.
Type : leather Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.05805, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.07535 sec, avg_samples: 53.0, avg_ips: 703.43052 images/sec.
Type : leather Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.08296, avg_reader_cost: 2.36059 sec, avg_batch_cost: 2.47489 sec, avg_samples: 96.0, avg_ips: 38.78954 images/sec.
Type : leather Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.05126, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11296 sec, avg_samples: 96.0, avg_ips: 849.83967 images/sec.
Type : leather Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.01151, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.07700 sec, avg_samples: 53.0, avg_ips: 688.32961 images/sec.
Type : leather Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.07181, avg_reader_cost: 2.51698 sec, avg_batch_cost: 2.62976 sec, avg_samples: 96.0, avg_ips: 36.50522 images/sec.
Type : leather Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.04501, avg_reader_cost: 0.00047 sec, avg_batch_cost: 0.11213 sec, avg_samples: 96.0, avg_ips: 856.11873 images/sec.
Type : leather Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.04374, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.07480 sec, avg_samples: 53.0, avg_ips: 708.51762 images/sec.
Type : leather Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.07030, avg_reader_cost: 2.63208 sec, avg_batch_cost: 2.74487 sec, avg_samples: 96.0, avg_ips: 34.97436 images/sec.
Type : leather Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.05921, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11343 sec, avg_samples: 96.0, avg_ips: 846.36346 images/sec.
Type : leather Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.01808, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.07439 sec, avg_samples: 53.0, avg_ips: 712.47340 images/sec.
Type : leather Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.02842, avg_reader_cost: 2.38285 sec, avg_batch_cost: 2.49572 sec, avg_samples: 96.0, avg_ips: 38.46590 images/sec.
Type : leather Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.02648, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11073 sec, avg_samples: 96.0, avg_ips: 866.93691 images/sec.
Type : leather Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.02944, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.07361 sec, avg_samples: 53.0, avg_ips: 720.02653 images/sec.
Type : leather Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.06793, avg_reader_cost: 2.40934 sec, avg_batch_cost: 2.52331 sec, avg_samples: 96.0, avg_ips: 38.04528 images/sec.
Type : leather Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.06081, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11310 sec, avg_samples: 96.0, avg_ips: 848.77914 images/sec.
Type : leather Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.01356, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.07441 sec, avg_samples: 53.0, avg_ips: 712.30218 images/sec.
Type : leather Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.07827, avg_reader_cost: 2.49519 sec, avg_batch_cost: 2.60719 sec, avg_samples: 96.0, avg_ips: 36.82124 images/sec.
Type : leather Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.03716, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.11156 sec, avg_samples: 96.0, avg_ips: 860.55761 images/sec.
Type : leather Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.06607, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.07459 sec, avg_samples: 53.0, avg_ips: 710.59220 images/sec.
Type : leather Test [ Epoch 32/256 ] test_cost: 10.635952 sec max_auc: 1.00000 roc_auc : 0.999660.
Type : leather Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.03822, avg_reader_cost: 2.59425 sec, avg_batch_cost: 2.70735 sec, avg_samples: 96.0, avg_ips: 35.45901 images/sec.
Type : leather Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.05190, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.10960 sec, avg_samples: 96.0, avg_ips: 875.87567 images/sec.
Type : leather Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.03240, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.07355 sec, avg_samples: 53.0, avg_ips: 720.54932 images/sec.
Type : leather Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.05583, avg_reader_cost: 2.64109 sec, avg_batch_cost: 2.75331 sec, avg_samples: 96.0, avg_ips: 34.86708 images/sec.
Type : leather Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.03422, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11187 sec, avg_samples: 96.0, avg_ips: 858.15133 images/sec.
Type : leather Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.00860, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.08043 sec, avg_samples: 53.0, avg_ips: 658.96175 images/sec.
Type : leather Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.03243, avg_reader_cost: 2.35782 sec, avg_batch_cost: 2.47009 sec, avg_samples: 96.0, avg_ips: 38.86503 images/sec.
Type : leather Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.02400, avg_reader_cost: 0.04878 sec, avg_batch_cost: 0.15978 sec, avg_samples: 96.0, avg_ips: 600.82694 images/sec.
Type : leather Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.05889, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.07530 sec, avg_samples: 53.0, avg_ips: 703.82472 images/sec.
Type : leather Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.06378, avg_reader_cost: 2.37526 sec, avg_batch_cost: 2.48852 sec, avg_samples: 96.0, avg_ips: 38.57712 images/sec.
Type : leather Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.02877, avg_reader_cost: 0.06118 sec, avg_batch_cost: 0.17278 sec, avg_samples: 96.0, avg_ips: 555.62895 images/sec.
Type : leather Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.01537, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.07359 sec, avg_samples: 53.0, avg_ips: 720.22482 images/sec.
Type : leather Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.03379, avg_reader_cost: 2.62245 sec, avg_batch_cost: 2.73477 sec, avg_samples: 96.0, avg_ips: 35.10345 images/sec.
Type : leather Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.03323, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11173 sec, avg_samples: 96.0, avg_ips: 859.18042 images/sec.
Type : leather Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.03836, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.07370 sec, avg_samples: 53.0, avg_ips: 719.14372 images/sec.
Type : leather Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.05165, avg_reader_cost: 2.28760 sec, avg_batch_cost: 2.40086 sec, avg_samples: 96.0, avg_ips: 39.98560 images/sec.
Type : leather Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.02014, avg_reader_cost: 0.05144 sec, avg_batch_cost: 0.16212 sec, avg_samples: 96.0, avg_ips: 592.14139 images/sec.
Type : leather Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.01464, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.07282 sec, avg_samples: 53.0, avg_ips: 727.77727 images/sec.
Type : leather Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.00753, avg_reader_cost: 2.37088 sec, avg_batch_cost: 2.48396 sec, avg_samples: 96.0, avg_ips: 38.64790 images/sec.
Type : leather Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.01665, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11131 sec, avg_samples: 96.0, avg_ips: 862.42476 images/sec.
Type : leather Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.03091, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07266 sec, avg_samples: 53.0, avg_ips: 729.42263 images/sec.
Type : leather Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.02208, avg_reader_cost: 2.60861 sec, avg_batch_cost: 2.72079 sec, avg_samples: 96.0, avg_ips: 35.28392 images/sec.
Type : leather Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.03861, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11184 sec, avg_samples: 96.0, avg_ips: 858.37085 images/sec.
Type : leather Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.05675, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.07344 sec, avg_samples: 53.0, avg_ips: 721.68854 images/sec.
Type : leather Test [ Epoch 40/256 ] test_cost: 10.429623 sec max_auc: 1.00000 roc_auc : 1.000000.
Type : leather Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.03023, avg_reader_cost: 2.48403 sec, avg_batch_cost: 2.59786 sec, avg_samples: 96.0, avg_ips: 36.95349 images/sec.
Type : leather Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.02201, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11017 sec, avg_samples: 96.0, avg_ips: 871.39846 images/sec.
Type : leather Train [ Epoch 41/256 iter 3 ] lr: 0.02333, loss: 0.03153, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.07348 sec, avg_samples: 53.0, avg_ips: 721.29046 images/sec.
Type : leather Train [ Epoch 42/256 iter 1 ] lr: 0.02302, loss: 0.01672, avg_reader_cost: 2.54570 sec, avg_batch_cost: 2.65775 sec, avg_samples: 96.0, avg_ips: 36.12081 images/sec.
Type : leather Train [ Epoch 42/256 iter 2 ] lr: 0.02302, loss: 0.04828, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11074 sec, avg_samples: 96.0, avg_ips: 866.93318 images/sec.
Type : leather Train [ Epoch 42/256 iter 3 ] lr: 0.02302, loss: 0.05868, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.07429 sec, avg_samples: 53.0, avg_ips: 713.41773 images/sec.
