
############################
training carpet
############################

Type : carpet Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.25363, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.09956 sec, avg_samples: 88.0, avg_ips: 883.92702 images/sec.
Type : carpet Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.18984, avg_reader_cost: 2.60331 sec, avg_batch_cost: 2.70921 sec, avg_samples: 96.0, avg_ips: 35.43472 images/sec.
Type : carpet Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.26960, avg_reader_cost: 0.06792 sec, avg_batch_cost: 0.17657 sec, avg_samples: 96.0, avg_ips: 543.69464 images/sec.
Type : carpet Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.19073, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.09707 sec, avg_samples: 88.0, avg_ips: 906.51572 images/sec.
Type : carpet Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.21456, avg_reader_cost: 2.16612 sec, avg_batch_cost: 2.27319 sec, avg_samples: 96.0, avg_ips: 42.23140 images/sec.
Type : carpet Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.21061, avg_reader_cost: 0.27571 sec, avg_batch_cost: 0.38187 sec, avg_samples: 96.0, avg_ips: 251.39694 images/sec.
Type : carpet Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.16979, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.09556 sec, avg_samples: 88.0, avg_ips: 920.84533 images/sec.
Type : carpet Test [ Epoch 16/256 ] test_cost: 11.710037 sec max_auc: 0.75161 roc_auc : 0.751605.
Type : carpet Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.25387, avg_reader_cost: 2.12064 sec, avg_batch_cost: 2.23515 sec, avg_samples: 96.0, avg_ips: 42.95023 images/sec.
Type : carpet Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.24061, avg_reader_cost: 0.43172 sec, avg_batch_cost: 0.54522 sec, avg_samples: 96.0, avg_ips: 176.07559 images/sec.
